Domain,country,Element,Item,year,Source,co2_emissions
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","1999","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2000","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2001","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2002","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2003","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2004","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2005","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2006","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2007","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2008","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2009","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2010","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2011","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2012","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2013","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2014","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2015","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2016","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2017","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2018","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2019","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2020","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Fires in organic soils","2021","FAO TIER 1","0"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1990","FAO TIER 1","20.4039"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1991","FAO TIER 1","20.3034"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1992","FAO TIER 1","20.2706"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1993","FAO TIER 1","20.3587"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1994","FAO TIER 1","20.6302"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1995","FAO TIER 1","20.9218"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1996","FAO TIER 1","20.9984"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1997","FAO TIER 1","21.0273"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1998","FAO TIER 1","21.0103"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","1999","FAO TIER 1","20.7313"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2000","FAO TIER 1","20.7993"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2001","FAO TIER 1","20.679"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2002","FAO TIER 1","20.6072"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2003","FAO TIER 1","20.6766"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2004","FAO TIER 1","20.8153"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2005","FAO TIER 1","21.0346"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2006","FAO TIER 1","21.2004"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2007","FAO TIER 1","21.3779"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2008","FAO TIER 1","21.526"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2009","FAO TIER 1","21.5129"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2010","FAO TIER 1","21.7281"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2011","FAO TIER 1","21.8574"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2012","FAO TIER 1","21.812"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2013","FAO TIER 1","21.8144"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2014","FAO TIER 1","21.8092"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2015","FAO TIER 1","21.5725"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2016","FAO TIER 1","21.5698"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2017","FAO TIER 1","21.676"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2018","FAO TIER 1","21.6197"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2019","FAO TIER 1","21.6021"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2020","FAO TIER 1","21.4056"
"Emissions totals","Brazil","Emissions (CO2)","Agrifood Systems Waste Disposal","2021","FAO TIER 1","21.4858"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1990","FAO TIER 1","1931.8663"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1991","FAO TIER 1","2053.351"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1992","FAO TIER 1","2140.358"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1993","FAO TIER 1","2215.9111"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1994","FAO TIER 1","2371.6489"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1995","FAO TIER 1","2482.4292"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1996","FAO TIER 1","2633.2032"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1997","FAO TIER 1","2801.2197"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1998","FAO TIER 1","2956.3464"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","1999","FAO TIER 1","3136.9527"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2000","FAO TIER 1","3258.6914"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2001","FAO TIER 1","3406.9771"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2002","FAO TIER 1","5319.4316"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2003","FAO TIER 1","5647.0244"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2004","FAO TIER 1","5893.8215"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2005","FAO TIER 1","5910.2897"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2006","FAO TIER 1","6341.2698"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2007","FAO TIER 1","5845.7576"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2008","FAO TIER 1","5749.2546"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2009","FAO TIER 1","5481.8274"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2010","FAO TIER 1","5760.0853"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2011","FAO TIER 1","6531.7745"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2012","FAO TIER 1","6090.1558"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2013","FAO TIER 1","5856.0093"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2014","FAO TIER 1","5262.8827"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2015","FAO TIER 1","5614.4986"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2016","FAO TIER 1","5613.2661"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2017","FAO TIER 1","4499.6121"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2018","FAO TIER 1","4394.871"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2019","FAO TIER 1","2577.4417"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2020","FAO TIER 1","1838.9573"
"Emissions totals","Brazil","Emissions (CO2)","Fertilizers Manufacturing","2021","FAO TIER 1","5793.3713"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1990","FAO TIER 1","897.2992"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1991","FAO TIER 1","1040.8398"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1992","FAO TIER 1","1185.9885"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1993","FAO TIER 1","1358.5687"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1994","FAO TIER 1","1472.454"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1995","FAO TIER 1","1346.8639"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1996","FAO TIER 1","1617.117"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1997","FAO TIER 1","1897.4121"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1998","FAO TIER 1","2002.6372"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","1999","FAO TIER 1","2194.5242"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2000","FAO TIER 1","2563.321"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2001","FAO TIER 1","2721.2552"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2002","FAO TIER 1","2482.3536"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2003","FAO TIER 1","3012.6277"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2004","FAO TIER 1","3398.372"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2005","FAO TIER 1","3896.7986"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2006","FAO TIER 1","4070.0117"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2007","FAO TIER 1","5555.8304"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2008","FAO TIER 1","5812.4108"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2009","FAO TIER 1","5945.6484"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2010","FAO TIER 1","6799.1891"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2011","FAO TIER 1","7689.3674"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2012","FAO TIER 1","9247.2058"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2013","FAO TIER 1","10162.3981"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2014","FAO TIER 1","10591.6831"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2015","FAO TIER 1","10850.7372"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2016","FAO TIER 1","10553.6154"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2017","FAO TIER 1","10422.7223"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2018","FAO TIER 1","10809.6367"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2019","FAO TIER 1","12067.7053"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2020","FAO TIER 1","11193.0547"
"Emissions totals","Brazil","Emissions (CO2)","Pesticides Manufacturing","2021","FAO TIER 1","13695.3968"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1990","FAO TIER 1","3502.197"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1991","FAO TIER 1","3682.2687"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1992","FAO TIER 1","4031.7673"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1993","FAO TIER 1","4069.7353"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1994","FAO TIER 1","4068.176"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1995","FAO TIER 1","4535.3052"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1996","FAO TIER 1","5121.3772"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1997","FAO TIER 1","4857.2766"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1998","FAO TIER 1","5188.5936"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","1999","FAO TIER 1","5693.8323"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","2000","FAO TIER 1","5796.183"
"Emissions totals","Brazil","Emissions (CO2)","Food Processing","2001","FAO TIER 1","5978.0798"
